,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
1132,1132,5677,Suizhong 36-1,oil,field,China,39.9501,120.836,Offshore,"https://www.gem.wiki/Suizhong_36-1_Oil_Field_(Bohai,_China)",2016-01,2026-02,20.7,Offshore fixed platform production,True,13.0,26.0,2.0218937441395175,26.0
1133,1133,5684,Kutubu,oil,project,Papua New Guinea,-6.4382,143.1935,Onshore,https://www.gem.wiki/Kutubu_Oil_Project_(Papua_New_Guinea),2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,7.0,7.0,1.9954211139517712,7.0
1137,1137,5731,Seria,oil,field,Brunei,4.644241,114.398061,Onshore,https://www.gem.wiki/Seria_Oil_Field_(Brunei),2016-01,2026-02,200.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,1.0,1.0,0.0,1.0
1143,1143,5830,Horst,oil and gas,field,Trinidad and Tobago,10.706,-60.591,Offshore,https://www.gem.wiki/Horst_Oil_and_Gas_Field_(Trinidad_and_Tobago),2016-01,2026-02,,Offshore fixed platform production,True,13.0,13.0,1.374292701706826,13.0
1149,1149,5900,Yen-Yakhinskoye (Oil Rim),oil,asset,Russia,67.008501,76.296616,Onshore,https://www.gem.wiki/Yen-Yakhinskoye_(Oil_Rim)_Oil_Asset_(Russia),2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,13.0,30.0,0.2063928478771816,30.0
1150,1150,5901,Bolshoi Urengoy,oil and gas,sub-basin,Russia,66.45255028,76.63852084,Onshore,https://www.gem.wiki/Bolshoi_Urengoy_Oil_and_Gas_Sub-Basin_(Russia),2016-01,2026-02,12000.0,Onshore conventional vertical drilling,True,9.0,36.0,1.0998599163905658,36.0
1156,1156,5952,Mangahewa,oil and gas,field,New Zealand,-39.066,174.306,Onshore,https://www.gem.wiki/Mangahewa_Oil_and_Gas_Field_(New_Zealand),2016-01,2026-02,100.0,Onshore hydraulic fracturing (primary technology),True,9.0,27.0,1.0542740573606149,27.0
1158,1158,5955,Padouk,oil and gas,field,Cameroon,4.274347705,8.417399263,Offshore,https://www.gem.wiki/Padouk_Oil_and_Gas_Field_(Cameroon),2016-01,2026-02,,Offshore fixed platform production,True,13.0,34.0,0.0251810570684631,34.0
1167,1167,6014,Ovintiv Mid-Continent - Grady,oil and gas,asset,United States,34.89676204,-97.71766228,Onshore,"https://www.gem.wiki/Ovintiv_Mid-Continent_-_Grady_Oil_and_Gas_Asset_(Oklahoma,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,2.0,2.0,1.4775900918149485,2.0
1177,1177,6149,Puerto Escondido ,oil and gas,field,Cuba,23.17140544,-81.72025252,Offshore,https://www.gem.wiki/Puerto_Escondido__Oil_and_Gas_Field_(Cuba),2016-01,2026-02,,Offshore FPSO-based production,True,1.0,1.0,2.0613006915684715,1.0
