,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
400,1943,Manir,oil and gas,field,Canada,55.244,-118.438,Onshore,"https://www.gem.wiki/Manir_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore thermal recovery – SAGD,True,5.0,5.0,2.8286051742412197,5.0
401,1951,Marten Hills,oil and gas,field,Canada,55.519,-113.913,Onshore,"https://www.gem.wiki/Marten_Hills_Oil_and_Gas_Field_(Alberta,_Canada)",2018-01,2026-02,1500.0,Onshore hydraulic fracturing (primary technology),True,5.0,6.0,0.5254706906540977,6.0
402,1958,Medicine Lodge,oil and gas,field,Canada,53.495,-117.029,Onshore,"https://www.gem.wiki/Medicine_Lodge_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,10.0,1.4688368191679315,10.0
403,1963,Minehead,oil and gas,field,Canada,53.207,-116.652,Onshore,"https://www.gem.wiki/Minehead_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,,Onshore conventional vertical drilling,True,5.0,25.0,1.2501050245984067,25.0
404,1964,Mirage,oil and gas,field,Canada,55.869,-119.034,Onshore,"https://www.gem.wiki/Mirage_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,2.0,2.0,2.42169173999923,2.0
405,1968,Morgan,oil and gas,field,Canada,53.461,-110.51,Onshore,"https://www.gem.wiki/Morgan_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,12.0,13.0,1.320697024511384,13.0
406,1993,Peco,oil and gas,field,Canada,53.117,-116.201,Onshore,"https://www.gem.wiki/Peco_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,10.36,Onshore conventional vertical drilling,True,2.0,2.0,1.2587608381460405,2.0
407,1995,Pembina,oil and gas,field,Canada,53.062,-114.891,Onshore,"https://www.gem.wiki/Pembina_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,2500.0,Onshore conventional vertical drilling,True,8.0,9.0,1.2475661019853757,9.0
408,2000,Pine Creek,oil and gas,field,Canada,53.863,-116.697,Onshore,"https://www.gem.wiki/Pine_Creek_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,5.0,5.0,1.7467046602596896,5.0
409,2001,Placid,oil and gas,field,Canada,54.194,-117.468,Onshore,"https://www.gem.wiki/Placid_Oil_and_Gas_Field_(Alberta,_Canada)",2016-01,2026-02,100.0,Onshore conventional vertical drilling,True,7.0,7.0,1.7236286374816958,7.0
